countryName;region_name;region_abb;office_location;ISO3
Switzerland;European Economic Area;EEA;Brussels Belgium;CHE
UK;European Economic Area;EEA;Brussels Belgium;GBR
Albania;South-Eastern Europe;SEE;Vienna Austria;ALB
Armenia;South-Eastern Europe;SEE;Vienna Austria;ARM
Azerbaijan;South-Eastern Europe;SEE;Vienna Austria;AZE
Belarus;South-Eastern Europe;SEE;Vienna Austria;BLR
Bosnia and Herzegovina;South-Eastern Europe;SEE;Vienna Austria;BIH
Croatia;South-Eastern Europe;SEE;Vienna Austria;HRV
Georgia;South-Eastern Europe;SEE;Vienna Austria;GEO
Israel;South-Eastern Europe;SEE;Vienna Austria;ISR
Kazakhstan;South-Eastern Europe;SEE;Vienna Austria;KAZ
UNSC resolution 1244-administered Kosovo;South-Eastern Europe;SEE;Vienna Austria;SCG
Kyrgyzstan;South-Eastern Europe;SEE;Vienna Austria;KGZ
Montenegro;South-Eastern Europe;SEE;Vienna Austria;MNE
Republic of Moldova;South-Eastern Europe;SEE;Vienna Austria;MDA
Russian Federation;South-Eastern Europe;SEE;Vienna Austria;RUS
Serbia;South-Eastern Europe;SEE;Vienna Austria;SRB
Tajikistan;South-Eastern Europe;SEE;Vienna Austria;TJK
The former Yugoslav Republic of Macedonia;South-Eastern Europe;SEE;Vienna Austria;MKD
Turkey;South-Eastern Europe;SEE;Vienna Austria;TUR
Turkmenistan;South-Eastern Europe;SEE;Vienna Austria;TKM
Ukraine;South-Eastern Europe;SEE;Vienna Austria;UKR
Uzbekistan;South-Eastern Europe;SEE;Vienna Austria;UZB
