contry_name;region_name;region_abb;office_location
UNSC resolution 1244-administered Kosovo;South-Eastern Europe;SEE;Vienna Austria
Kyrgyzstan;South-Eastern Europe;SEE;Vienna Austria
Montenegro;South-Eastern Europe;SEE;Vienna Austria
Republic of Moldova;South-Eastern Europe;SEE;Vienna Austria
Russian Federation;South-Eastern Europe;SEE;Vienna Austria
Serbia;South-Eastern Europe;SEE;Vienna Austria
Tajikistan;South-Eastern Europe;SEE;Vienna Austria
The FYROM;South-Eastern Europe;SEE;Vienna Austria
Turkey;South-Eastern Europe;SEE;Vienna Austria
Turkmenistan;South-Eastern Europe;SEE;Vienna Austria
Ukraine;South-Eastern Europe;SEE;Vienna Austria
Uzbekistan;South-Eastern Europe;SEE;Vienna Austria
