"countryName_Destination";"Notes.x";"ISO3.x";"Type.of.data..a.";"Origin";"nbMigrants";"Notes.y";"ISO3.y"
"Bahamas";"";"BHS";"B";"Afghanistan";0;"";"AFG"
"Barbados";"";"BRB";"B";"Afghanistan";0;"";"AFG"
"Bonaire, Sint Eustatius and Saba";"-20";"BES";"B";"Afghanistan";0;"";"AFG"
"British Virgin Islands";"";"VGB";"B";"Afghanistan";0;"";"AFG"
"Cayman Islands";"";"CYM";"C";"Afghanistan";0;"";"AFG"
"Cuba";"";"CUB";"B";"Afghanistan";0;"";"AFG"
"Curaçao";"";"CUW";"B";"Afghanistan";0;"";"AFG"
"Dominica";"";"DMA";"B";"Afghanistan";0;"";"AFG"
"Dominican Republic";"";"DOM";"B";"Afghanistan";0;"";"AFG"
"Grenada";"";"GRD";"B";"Afghanistan";0;"";"AFG"
"Guadeloupe";"-21";"GLP";"B";"Afghanistan";0;"";"AFG"
"Haiti";"";"HTI";"B";"Afghanistan";0;"";"AFG"
"Jamaica";"";"JAM";"B";"Afghanistan";0;"";"AFG"
"Martinique";"";"MTQ";"B";"Afghanistan";0;"";"AFG"
"Montserrat";"";"MSR";"B";"Afghanistan";0;"";"AFG"
"Puerto Rico";"";"PRI";"B";"Afghanistan";0;"";"AFG"
"Saint Kitts and Nevis";"";"KNA";"B";"Afghanistan";0;"";"AFG"
"Saint Lucia";"";"LCA";"B";"Afghanistan";0;"";"AFG"
"Saint Vincent and the Grenadines";"";"VCT";"B";"Afghanistan";0;"";"AFG"
"Sint Maarten (Dutch part)";"";"SXM";"B";"Afghanistan";0;"";"AFG"
"Trinidad and Tobago";"";"TTO";"B";"Afghanistan";0;"";"AFG"
"Turks and Caicos Islands";"";"TCA";"B";"Afghanistan";0;"";"AFG"
"United States Virgin Islands";"";"VIR";"B";"Afghanistan";0;"";"AFG"
"Belize";"";"BLZ";"B R ";"Afghanistan";0;"";"AFG"
"Costa Rica";"";"CRI";"B R";"Afghanistan";4;"";"AFG"
"El Salvador";"";"SLV";"B R";"Afghanistan";0;"";"AFG"
"Guatemala";"";"GTM";"B R";"Afghanistan";0;"";"AFG"
"Honduras";"";"HND";"B R";"Afghanistan";0;"";"AFG"
"Mexico";"";"MEX";"B R";"Afghanistan";0;"";"AFG"
"Nicaragua";"";"NIC";"B R";"Afghanistan";61;"";"AFG"
"Panama";"";"PAN";"B";"Afghanistan";0;"";"AFG"
"Argentina";"";"ARG";"B";"Afghanistan";9;"";"AFG"
"Bolivia (Plurinational State of)";"";"BOL";"B";"Afghanistan";1;"";"AFG"
"Brazil";"";"BRA";"B";"Afghanistan";69;"";"AFG"
"Chile";"";"CHL";"B";"Afghanistan";15;"";"AFG"
"Colombia";"";"COL";"B";"Afghanistan";116;"";"AFG"
"Ecuador";"";"ECU";"B R";"Afghanistan";55;"";"AFG"
"Falkland Islands (Malvinas)";"";"FLK";"B";"Afghanistan";0;"";"AFG"
"French Guiana";"";"GUF";"B";"Afghanistan";0;"";"AFG"
"Guyana";"";"GUY";"B";"Afghanistan";0;"";"AFG"
"Paraguay";"";"PRY";"B";"Afghanistan";0;"";"AFG"
"Peru";"";"PER";"B";"Afghanistan";0;"";"AFG"
