ISO3,COUNTRY,namesOr1,nbmigOr1,namesOr2,nbmigOr2,namesOr3,nbmigOr3,namesDe1,nbmigDe1,namesDe2,nbmigDe2,namesDe3,nbmigDe3
NIC,Other Mexico,Honduras,12439,Costa Rica,10772,Colombia,3606,Costa Rica,299340,United States of America,257427,Spain,18713
NER,Niger,Mali,84640,Nigeria,19436,Burkina Faso,19323,Nigeria,112733,Benin,75775,Togo,65529
NGA,Nigeria,Benin,351985,Ghana,222377,Mali,160967,United States of America,237221,United Kingdom of Great Britain and Northern Ireland,216268,Cameroon,81676
NIU,,Australia,170,Antigua and Barbuda,119,Algeria,78,New Zealand,4364,Australia,939,Lithuania,21
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NOR,,Poland,91213,Sweden,49216,Lithuania,35941,Sweden,43256,United States of America,27839,Denmark,20324
OMN,Kuwait (regio,India,777632,Bangladesh,346068,Pakistan,284460,"China, Hong Kong Special Administrative Region",9334,United Kingdom of Great Britain and Northern Ireland,3432,Canada,1753
PLW,Suva (regiona,Philippines,2987,China,514,Dominican Republic,353,Guam,1449,Iceland,564,Montserrat,280
,,,,,,,,,,,,,
PAN,Panama,Colombia,55251,China,18665,United States of America,14040,United States of America,107852,Costa Rica,11702,Spain,4246
PNG,Suva (regiona,Australia,9183,Indonesia,8343,New Zealand,1778,Algeria,1399,United Kingdom of Great Britain and Northern Ireland,1199,Canada,587
,,,,,,,,,,,,,
PRY,Other Brasili,Brazil,73715,Argentina,57056,Philippines,2925,Argentina,679044,Spain,60506,Brazil,46857
PER,Peru,Argentina,11354,United States of America,9853,Chile,7182,United States of America,442615,Argentina,195320,Spain,183529
PHL,Philippines,China,35952,United States of America,35564,Japan,13749,United States of America,1896031,United Arab Emirates,555704,Canada,545321
,,,,,,,,,,,,,
POL,,Ukraine,206518,Germany,76313,Belarus,75926,Germany,1930136,United Kingdom of Great Britain and Northern Ireland,703050,United States of America,463732
PRT,,Angola,151273,Brazil,129968,France,87899,France,713158,United States of America,392626,Switzerland,205887
,,,,,,,,,,,,,
QAT,Kuwait (regio,India,645577,Egypt,163569,Bangladesh,160183,State of Palestine,10111,United Arab Emirates,3996,United Kingdom of Great Britain and Northern Ireland,2706
KOR,Republic of K,China,750639,Viet Nam,113998,United States of America,68784,United States of America,1119578,Japan,522486,China,186786
MDA,Moldova,Ukraine,64009,Russian Federation,59259,Kazakhstan,5183,Russian Federation,294314,Italy,166819,Ukraine,149745
ROM,,Republic of Moldova,81856,Italy,26380,Spain,22914,Italy,1021613,Spain,658132,Germany,590189
RWA,Rwanda,Democratic Republic of the Congo,230622,Uganda,92195,Burundi,64501,Democratic Republic of the Congo,97168,Uganda,76861,Burundi,64363
,,,,,,,,,,,,,
,,,,,,,,,,,,,
KNA,Caribbean Com,Costa Rica,777,Malaysia,613,Chad,430,United States of America,17226,United States Virgin Islands,7100,United Kingdom of Great Britain and Northern Ireland,6067
LCA,Caribbean Com,Bulgaria,1974,Albania,972,China,780,United States of America,21076,United Kingdom of Great Britain and Northern Ireland,9836,Canada,5928
,,,,,,,,,,,,,
VCT,Caribbean Com,Argentina,964,United Kingdom of Great Britain and Northern Ireland,795,Brazil,433,United States of America,22808,Canada,13973,United Kingdom of Great Britain and Northern Ireland,8008
WSM,Suva (regiona,American Samoa,1588,New Zealand,1493,Chile,367,New Zealand,52640,Australia,26142,United States of America,16866
SMR,,Italy,4143,Bahrain,120,Afghanistan,69,Morocco,1913,Colombia,220,Colombia,46
STP,Sao Tome and,Cabo Verde,1363,Angola,358,Burkina Faso,237,Portugal,17345,Angola,9123,Gabon,4213
SAU,Kuwait (regio,India,1894380,Indonesia,1294035,Pakistan,1123260,United States of America,62496,United Kingdom of Great Britain and Northern Ireland,36148,Libya,35474
,,,,,,,,,,,,,
SEN,Senegal,Mauritania,51490,Guinea,49780,Mali,32930,Gambia,118452,France,117870,United Kingdom of Great Britain and Northern Ireland,84815
,,,,,,,,,,,,,
SRB,Other W. Balk,Bosnia and Herzegovina,335992,Croatia,283247,Montenegro,71224,Austria,195177,Switzerland,168629,Germany,106673
SYC,Other Nairobi,India,6489,Madagascar,804,Belarus,707,United Kingdom of Great Britain and Northern Ireland,3878,Egypt,3144,Tunisia,999
SLE,Sierra Leone,Guinea,68467,Georgia,6536,Gambia,4828,United States of America,36561,United Kingdom of Great Britain and Northern Ireland,25281,Guinea,15098
SGP,Kuala Lumpur,Malaysia,1123654,China,448566,Indonesia,163237,Malaysia,79519,Australia,67822,United Kingdom of Great Britain and Northern Ireland,45351
SVK,,Czech Republic,89304,Hungary,17537,Ukraine,10001,Czech Republic,87584,United Kingdom of Great Britain and Northern Ireland,67781,Germany,42856
SVN,,Bosnia and Herzegovina,105313,Croatia,49719,Serbia,28334,Germany,39738,Croatia,19587,Niger,17908
SLB,Suva (regiona,China,564,Argentina,279,Azerbaijan,265,Australia,2353,Brazil,703,Belgium,364
SOM,Somalia,Ethiopia,2079,Anguilla,34,Afghanistan,0,Kenya,488470,Ethiopia,442910,Yemen,245683
ZAF,Other Pretori,Zimbabwe,475406,Mozambique,449710,Lesotho,350611,United Kingdom of Great Britain and Northern Ireland,218732,Australia,183370,United States of America,88907
,,,,,,,,,,,,,
ESP,,Morocco,699800,Romania,658132,Ecuador,421758,France,304422,Germany,100560,Argentina,98050
,,,,,,,,,,,,,
LKA,Sri Lanka,India,10460,Italy,5001,China,2401,Saudi Arabia,400734,India,155195,Canada,146998
SUR,Caribbean Com,Guyana,13284,Brazil,5456,China,5338,Netherlands,186783,French Guiana,30785,France,24383
,,,,,,,,,,,,,
SWZ,Other Pretoar,South Africa,12511,Mozambique,10393,Belgium,256,South Africa,91232,United Kingdom of Great Britain and Northern Ireland,1596,Botswana,696
SWE,,Finland,162067,Iraq,133118,Poland,83542,Norway,49216,United States of America,46919,Finland,41265
CHE,,Germany,362506,Italy,264786,Portugal,205887,Italy,198170,France,95267,Germany,84294
SYR,Syrian Arab R,Iraq,253609,State of Palestine,238809,Malaysia,2538,Turkey,1568494,Lebanon,1255494,Jordan,700266
TJK,Tajikistan,Russian Federation,237935,Kyrgyzstan,11667,Uzbekistan,7798,Russian Federation,466508,Ukraine,29367,Germany,28985
THA,Thailand,Myanmar,1978348,Cambodia,805272,China,100320,United States of America,236180,Germany,76002,Australia,60712
MKD,Other W. Balk,Albania,67799,Turkey,19922,Serbia,17930,Turkey,144544,Italy,73033,Switzerland,58804
TLS,Jakarta (regi,Indonesia,5426,China,1123,Cyprus,716,,,,,,
TGO,Togo,Benin,71438,Niger,65529,Ghana,46794,Nigeria,147698,Ghana,87494,Cte d'Ivoire,50328
,,,,,,,,,,,,,
TON,Suva (regiona,Fiji,724,Cameroon,334,Honduras,274,New Zealand,23291,United States of America,17717,Australia,11784
TTO,Caribbean Com,Guyana,9830,Grenada,8026,Saint Vincent and the Grenadines,6430,United States of America,240948,Canada,74682,United Kingdom of Great Britain and Northern Ireland,25364
,,,,,,,,,,,,,
TUN,Other Tunis R,Algeria,10443,Libya,9147,France,8638,France,388598,Italy,107671,Germany,41332
TUR,Republic of T,Syrian Arab Republic,1568494,Bulgaria,482851,Germany,274691,Germany,1655996,France,297429,Netherlands,199551
,,,,,,,,,,,,,
TUV,Suva (regiona,Algeria,48,Algeria,30,Aruba,17,New Zealand,1474,Switzerland,582,Australia,411
